rec_id	drug	recommendation	variants	lookup_genes	component_count
7588405	abacavir	Use abacavir per standard dosing guidelines	"[""HLA-B *57:01 negative""]"	HLA-B	1
7588406	abacavir	Abacavir is not recommended	"[""HLA-B *57:01 positive""]"	HLA-B	1
7588407	allopurinol	Use allopurinol per standard dosing guidelines	"[""HLA-B *58:01 negative""]"	HLA-B	1
7588408	allopurinol	Allopurinol is contraindicated	"[""HLA-B *58:01 positive""]"	HLA-B	1
7588409	amikacin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588410	amikacin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588411	amikacin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588412	gentamicin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588413	gentamicin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588414	gentamicin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588415	kanamycin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588416	kanamycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588417	kanamycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588418	paromomycin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588419	paromomycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588420	paromomycin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588421	plazomicin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588422	plazomicin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 normal risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588423	plazomicin	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	"[""MT-RNR1 uncertain risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
7588424	streptomycin	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	"[""MT-RNR1 increased risk of aminoglycoside-induced hearing loss""]"	MT-RNR1	1
